,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
44450,AL,AL: Coosa County (01037),154.4,248.9,196.8,80,Mortality,27919.0,All Races,Male,All Cancer Sites Combined,2012-2016,227.2,356.6,286.5
45338,AL,AL: Covington County (01039),200.1,256.9,227.1,268,Mortality,90865.0,All Races,Male,All Cancer Sites Combined,2012-2016,260.7,332.5,294.9
46226,AL,AL: Crenshaw County (01041),217.5,324.6,266.9,110,Mortality,33829.0,All Races,Male,All Cancer Sites Combined,2012-2016,267.2,391.9,325.2
47114,AL,AL: Cullman County (01043),213.7,254.8,233.6,546,Mortality,200850.0,All Races,Male,All Cancer Sites Combined,2012-2016,249.5,295.6,271.8
48002,AL,AL: Dale County (01045),188.7,240.7,213.5,285,Mortality,122676.0,All Races,Male,All Cancer Sites Combined,2012-2016,206.1,260.9,232.3
48890,AL,AL: Dallas County (01047),245.8,312.1,277.4,302,Mortality,95895.0,All Races,Male,All Cancer Sites Combined,2012-2016,280.4,352.5,314.9
49778,AL,AL: DeKalb County (01049),176.8,218.4,196.8,379,Mortality,175798.0,All Races,Male,All Cancer Sites Combined,2012-2016,194.4,238.4,215.6
50666,AL,AL: Elmore County (01051),233.3,282.6,257.1,481,Mortality,195573.0,All Races,Male,All Cancer Sites Combined,2012-2016,224.5,268.9,245.9
51554,AL,AL: Escambia County (01053),215.8,277.8,245.3,266,Mortality,97093.0,All Races,Male,All Cancer Sites Combined,2012-2016,242.0,308.9,274.0
52442,AL,AL: Etowah County (01055),229.5,267.2,247.8,729,Mortality,250223.0,All Races,Male,All Cancer Sites Combined,2012-2016,270.6,313.3,291.3
53330,AL,AL: Fayette County (01057),207.2,296.5,248.6,133,Mortality,41523.0,All Races,Male,All Cancer Sites Combined,2012-2016,268.2,379.6,320.3
54218,AL,AL: Franklin County (01059),189.2,255.3,220.4,186,Mortality,78847.0,All Races,Male,All Cancer Sites Combined,2012-2016,203.2,272.3,235.9
55106,AL,AL: Geneva County (01061),203.3,272.2,235.7,201,Mortality,65306.0,All Races,Male,All Cancer Sites Combined,2012-2016,266.7,353.4,307.8
55994,AL,AL: Greene County (01063),124.8,232.9,172.1,47,Mortality,20474.0,All Races,Male,All Cancer Sites Combined,2012-2016,168.7,305.3,229.6
56882,AL,AL: Hale County (01065),212.2,317.1,260.6,108,Mortality,35655.0,All Races,Male,All Cancer Sites Combined,2012-2016,248.5,365.7,302.9
57770,AL,AL: Henry County (01067),186.9,270.8,225.6,128,Mortality,41359.0,All Races,Male,All Cancer Sites Combined,2012-2016,258.2,368.0,309.5
58658,AL,AL: Houston County (01069),213.2,250.7,231.4,639,Mortality,249308.0,All Races,Male,All Cancer Sites Combined,2012-2016,236.8,277.0,256.3
59546,AL,AL: Jackson County (01071),237.0,290.5,262.7,418,Mortality,129374.0,All Races,Male,All Cancer Sites Combined,2012-2016,292.9,355.6,323.1
60434,AL,AL: Jefferson County (01073),216.6,232.0,224.2,3534,Mortality,1560556.0,All Races,Male,All Cancer Sites Combined,2012-2016,219.1,234.0,226.5
61322,AL,AL: Lamar County (01075),209.2,305.9,253.8,122,Mortality,34351.0,All Races,Male,All Cancer Sites Combined,2012-2016,294.9,424.1,355.2
62210,AL,AL: Lauderdale County (01077),207.6,244.7,225.6,612,Mortality,221379.0,All Races,Male,All Cancer Sites Combined,2012-2016,255.0,299.2,276.4
63098,AL,AL: Lawrence County (01079),216.5,283.8,248.4,239,Mortality,81425.0,All Races,Male,All Cancer Sites Combined,2012-2016,257.5,333.2,293.5
63986,AL,AL: Lee County (01081),225.6,265.0,244.8,677,Mortality,380143.0,All Races,Male,All Cancer Sites Combined,2012-2016,164.9,192.0,178.1
64874,AL,AL: Limestone County (01083),188.7,229.4,208.4,459,Mortality,226719.0,All Races,Male,All Cancer Sites Combined,2012-2016,184.4,221.8,202.5
65762,AL,AL: Lowndes County (01085),212.3,340.1,270.4,80,Mortality,24959.0,All Races,Male,All Cancer Sites Combined,2012-2016,254.2,398.9,320.5
66650,AL,AL: Macon County (01087),228.6,324.5,273.2,144,Mortality,45374.0,All Races,Male,All Cancer Sites Combined,2012-2016,267.6,373.6,317.4
67538,AL,AL: Madison County (01089),179.6,198.8,189.0,1598,Mortality,854286.0,All Races,Male,All Cancer Sites Combined,2012-2016,178.0,196.5,187.1
68426,AL,AL: Marengo County (01091),186.0,266.5,223.3,131,Mortality,46951.0,All Races,Male,All Cancer Sites Combined,2012-2016,233.3,331.1,279.0
69314,AL,AL: Marion County (01093),194.6,256.7,223.9,220,Mortality,74866.0,All Races,Male,All Cancer Sites Combined,2012-2016,256.3,335.4,293.9
70202,AL,AL: Marshall County (01095),218.8,258.8,238.2,593,Mortality,232629.0,All Races,Male,All Cancer Sites Combined,2012-2016,234.8,276.3,254.9
71090,AL,AL: Mobile County (01097),234.3,254.3,244.1,2510,Mortality,990981.0,All Races,Male,All Cancer Sites Combined,2012-2016,243.5,263.4,253.3
71978,AL,AL: Monroe County (01099),205.8,287.3,243.9,156,Mortality,52618.0,All Races,Male,All Cancer Sites Combined,2012-2016,251.8,346.8,296.5
72866,AL,AL: Montgomery County (01101),210.9,238.0,224.2,1141,Mortality,538776.0,All Races,Male,All Cancer Sites Combined,2012-2016,199.7,224.4,211.8
73754,AL,AL: Morgan County (01103),199.2,232.5,215.4,693,Mortality,293912.0,All Races,Male,All Cancer Sites Combined,2012-2016,218.6,254.0,235.8
74642,AL,AL: Perry County (01105),218.2,357.6,281.4,73,Mortality,23161.0,All Races,Male,All Cancer Sites Combined,2012-2016,247.1,396.3,315.2
75530,AL,AL: Pickens County (01107),184.5,262.4,220.7,136,Mortality,49197.0,All Races,Male,All Cancer Sites Combined,2012-2016,231.9,327.0,276.4
76418,AL,AL: Pike County (01109),203.3,276.6,237.8,181,Mortality,79755.0,All Races,Male,All Cancer Sites Combined,2012-2016,195.1,262.5,226.9
77306,AL,AL: Randolph County (01111),178.9,252.7,213.3,148,Mortality,54502.0,All Races,Male,All Cancer Sites Combined,2012-2016,229.6,319.0,271.5
78194,AL,AL: Russell County (01113),229.0,288.8,257.7,324,Mortality,142836.0,All Races,Male,All Cancer Sites Combined,2012-2016,202.8,252.9,226.8
79082,AL,AL: Shelby County (01117),165.5,191.3,178.1,814,Mortality,500999.0,All Races,Male,All Cancer Sites Combined,2012-2016,151.5,174.0,162.5
79970,AL,AL: St. Clair County (01115),207.7,250.3,228.3,503,Mortality,215374.0,All Races,Male,All Cancer Sites Combined,2012-2016,213.6,254.9,233.5
80858,AL,AL: Sumter County (01119),174.9,285.8,225.1,75,Mortality,30014.0,All Races,Male,All Cancer Sites Combined,2012-2016,196.5,313.2,249.9
81746,AL,AL: Talladega County (01121),212.8,255.6,233.5,517,Mortality,196981.0,All Races,Male,All Cancer Sites Combined,2012-2016,240.3,286.1,262.5
82634,AL,AL: Tallapoosa County (01123),220.2,277.8,247.7,317,Mortality,99207.0,All Races,Male,All Cancer Sites Combined,2012-2016,285.3,356.7,319.5
83522,AL,AL: Tuscaloosa County (01125),199.8,229.6,214.4,881,Mortality,489174.0,All Races,Male,All Cancer Sites Combined,2012-2016,168.4,192.4,180.1
84860,AL,AL: Walker County (01127),256.7,306.4,280.7,546,Mortality,159376.0,All Races,Male,All Cancer Sites Combined,2012-2016,314.4,372.6,342.6
85748,AL,AL: Washington County (01129),267.5,372.9,316.7,157,Mortality,41317.0,All Races,Male,All Cancer Sites Combined,2012-2016,322.9,444.3,380.0
86636,AL,AL: Wilcox County (01131),201.1,325.6,257.6,76,Mortality,26208.0,All Races,Male,All Cancer Sites Combined,2012-2016,228.5,363.0,290.0
87524,AL,AL: Winston County (01133),225.8,303.5,262.3,201,Mortality,59325.0,All Races,Male,All Cancer Sites Combined,2012-2016,293.6,389.0,338.8
88412,AR,AR: Arkansas County (05001),220.5,309.7,262.1,148,Mortality,44789.0,All Races,Male,All Cancer Sites Combined,2012-2016,279.3,388.2,330.4
89300,AR,AR: Ashley County (05003),206.6,285.9,243.7,162,Mortality,50934.0,All Races,Male,All Cancer Sites Combined,2012-2016,271.0,371.0,318.1
90188,AR,AR: Baxter County (05005),194.1,239.0,215.4,419,Mortality,98973.0,All Races,Male,All Cancer Sites Combined,2012-2016,383.8,465.9,423.3
91076,AR,AR: Benton County (05007),183.4,207.1,195.0,1083,Mortality,606984.0,All Races,Male,All Cancer Sites Combined,2012-2016,168.0,189.4,178.4
91964,AR,AR: Boone County (05009),185.4,239.7,211.2,253,Mortality,91750.0,All Races,Male,All Cancer Sites Combined,2012-2016,242.8,311.9,275.7
92852,AR,AR: Bradley County (05011),200.9,313.6,252.2,86,Mortality,26863.0,All Races,Male,All Cancer Sites Combined,2012-2016,256.1,395.4,320.1
93740,AR,AR: Calhoun County (05013),228.4,405.1,306.3,54,Mortality,13244.0,All Races,Male,All Cancer Sites Combined,2012-2016,306.3,532.0,407.7
94628,AR,AR: Carroll County (05015),147.1,202.6,173.0,170,Mortality,68323.0,All Races,Male,All Cancer Sites Combined,2012-2016,212.8,289.2,248.8
95516,AR,AR: Chicot County (05017),248.5,370.1,304.5,107,Mortality,27688.0,All Races,Male,All Cancer Sites Combined,2012-2016,316.7,467.0,386.4
96404,AR,AR: Clark County (05019),175.8,254.9,212.5,122,Mortality,53687.0,All Races,Male,All Cancer Sites Combined,2012-2016,188.7,271.3,227.2
97292,AR,AR: Clay County (05021),277.1,379.2,324.8,170,Mortality,37583.0,All Races,Male,All Cancer Sites Combined,2012-2016,386.9,525.7,452.3
98180,AR,AR: Cleburne County (05023),198.6,257.9,226.4,249,Mortality,62866.0,All Races,Male,All Cancer Sites Combined,2012-2016,348.4,448.5,396.1
99068,AR,AR: Cleveland County (05025),159.2,279.5,212.7,56,Mortality,20615.0,All Races,Male,All Cancer Sites Combined,2012-2016,205.2,352.8,271.6
99956,AR,AR: Columbia County (05027),200.2,277.8,236.5,156,Mortality,57966.0,All Races,Male,All Cancer Sites Combined,2012-2016,228.5,314.8,269.1
100844,AR,AR: Conway County (05029),202.4,280.0,238.7,160,Mortality,51631.0,All Races,Male,All Cancer Sites Combined,2012-2016,263.7,361.8,309.9
101732,AR,AR: Craighead County (05031),209.5,250.5,229.3,513,Mortality,250271.0,All Races,Male,All Cancer Sites Combined,2012-2016,187.6,223.5,205.0
102620,AR,AR: Crawford County (05033),218.9,268.7,242.8,403,Mortality,152481.0,All Races,Male,All Cancer Sites Combined,2012-2016,239.1,291.4,264.3
103508,AR,AR: Crittenden County (05035),263.5,334.6,297.5,311,Mortality,117441.0,All Races,Male,All Cancer Sites Combined,2012-2016,236.2,295.9,264.8
104396,AR,AR: Cross County (05037),269.2,374.7,318.6,157,Mortality,41851.0,All Races,Male,All Cancer Sites Combined,2012-2016,318.8,438.6,375.1
105284,AR,AR: Dallas County (05039),208.9,343.2,269.1,71,Mortality,18848.0,All Races,Male,All Cancer Sites Combined,2012-2016,294.2,475.2,376.7
106172,AR,AR: Desha County (05041),162.7,266.4,209.6,72,Mortality,28702.0,All Races,Male,All Cancer Sites Combined,2012-2016,196.3,315.9,250.9
107060,AR,AR: Drew County (05043),210.7,304.1,254.1,125,Mortality,45465.0,All Races,Male,All Cancer Sites Combined,2012-2016,228.9,327.6,274.9
107948,AR,AR: Faulkner County (05045),210.9,251.8,230.7,543,Mortality,294223.0,All Races,Male,All Cancer Sites Combined,2012-2016,169.4,200.8,184.6
108836,AR,AR: Franklin County (05047),217.5,305.1,258.3,145,Mortality,44196.0,All Races,Male,All Cancer Sites Combined,2012-2016,276.9,386.0,328.1
109724,AR,AR: Fulton County (05049),179.1,265.1,218.1,114,Mortality,29852.0,All Races,Male,All Cancer Sites Combined,2012-2016,315.0,458.8,381.9
110612,AR,AR: Garland County (05051),218.6,251.9,234.8,823,Mortality,235816.0,All Races,Male,All Cancer Sites Combined,2012-2016,325.6,373.7,349.0
111500,AR,AR: Grant County (05053),225.7,320.1,269.7,142,Mortality,44917.0,All Races,Male,All Cancer Sites Combined,2012-2016,266.3,372.6,316.1
112388,AR,AR: Greene County (05055),222.7,283.8,251.9,285,Mortality,107852.0,All Races,Male,All Cancer Sites Combined,2012-2016,234.5,296.8,264.3
113276,AR,AR: Hempstead County (05057),158.4,230.1,191.6,122,Mortality,53636.0,All Races,Male,All Cancer Sites Combined,2012-2016,188.9,271.6,227.5
114164,AR,AR: Hot Spring County (05059),183.9,242.3,211.5,221,Mortality,86941.0,All Races,Male,All Cancer Sites Combined,2012-2016,221.8,290.0,254.2
115052,AR,AR: Howard County (05061),212.2,319.0,261.4,102,Mortality,32630.0,All Races,Male,All Cancer Sites Combined,2012-2016,254.9,379.5,312.6
115940,AR,AR: Independence County (05063),212.4,274.6,241.9,253,Mortality,90218.0,All Races,Male,All Cancer Sites Combined,2012-2016,246.9,317.2,280.4
116828,AR,AR: Izard County (05065),159.4,237.4,194.9,112,Mortality,34884.0,All Races,Male,All Cancer Sites Combined,2012-2016,264.4,386.3,321.1
117716,AR,AR: Jackson County (05067),245.1,344.4,291.5,146,Mortality,43362.0,All Races,Male,All Cancer Sites Combined,2012-2016,284.3,396.0,336.7
118604,AR,AR: Jefferson County (05069),221.1,268.0,243.7,461,Mortality,178460.0,All Races,Male,All Cancer Sites Combined,2012-2016,235.3,283.0,258.3
119492,AR,AR: Johnson County (05071),157.4,223.9,188.4,135,Mortality,64622.0,All Races,Male,All Cancer Sites Combined,2012-2016,175.2,247.3,208.9
120380,AR,AR: Lafayette County (05073),182.5,313.8,240.6,61,Mortality,17388.0,All Races,Male,All Cancer Sites Combined,2012-2016,268.3,450.6,350.8
121268,AR,AR: Lawrence County (05075),208.8,296.2,249.4,137,Mortality,41547.0,All Races,Male,All Cancer Sites Combined,2012-2016,276.8,389.8,329.7
122156,AR,AR: Lee County (05077),222.8,348.8,280.4,84,Mortality,27522.0,All Races,Male,All Cancer Sites Combined,2012-2016,243.4,377.9,305.2
123044,AR,AR: Lincoln County (05079),180.8,286.0,229.0,84,Mortality,42867.0,All Races,Male,All Cancer Sites Combined,2012-2016,156.3,242.6,196.0
123932,AR,AR: Little River County (05081),161.0,256.7,204.4,84,Mortality,30858.0,All Races,Male,All Cancer Sites Combined,2012-2016,217.1,337.0,272.2
124820,AR,AR: Logan County (05083),200.5,275.6,235.6,166,Mortality,54372.0,All Races,Male,All Cancer Sites Combined,2012-2016,260.6,355.4,305.3
125708,AR,AR: Lonoke County (05085),228.2,282.7,254.4,384,Mortality,175460.0,All Races,Male,All Cancer Sites Combined,2012-2016,197.5,241.9,218.9
126596,AR,AR: Madison County (05087),178.7,270.2,220.8,105,Mortality,39499.0,All Races,Male,All Cancer Sites Combined,2012-2016,217.4,321.8,265.8
127484,AR,AR: Marion County (05089),220.1,304.9,259.3,182,Mortality,40808.0,All Races,Male,All Cancer Sites Combined,2012-2016,383.5,515.7,446.0
128372,AR,AR: Miller County (05091),217.2,278.0,246.2,276,Mortality,107783.0,All Races,Male,All Cancer Sites Combined,2012-2016,226.7,288.1,256.1
129260,AR,AR: Mississippi County (05093),252.8,321.1,285.5,303,Mortality,107446.0,All Races,Male,All Cancer Sites Combined,2012-2016,251.1,315.6,282.0
130148,AR,AR: Monroe County (05095),236.8,378.6,300.6,79,Mortality,17951.0,All Races,Male,All Cancer Sites Combined,2012-2016,348.4,548.5,440.1
131036,AR,AR: Montgomery County (05097),155.4,261.1,202.3,73,Mortality,22791.0,All Races,Male,All Cancer Sites Combined,2012-2016,251.1,402.7,320.3
131924,AR,AR: Nevada County (05099),194.7,319.0,250.6,73,Mortality,21469.0,All Races,Male,All Cancer Sites Combined,2012-2016,266.5,427.5,340.0
132812,AR,AR: Newton County (05101),168.7,292.1,223.4,65,Mortality,20117.0,All Races,Male,All Cancer Sites Combined,2012-2016,249.4,411.8,323.1
133700,AR,AR: Ouachita County (05103),234.1,311.9,270.7,208,Mortality,58383.0,All Races,Male,All Cancer Sites Combined,2012-2016,309.5,408.1,356.3
134588,AR,AR: Perry County (05105),154.4,256.1,200.0,69,Mortality,25624.0,All Races,Male,All Cancer Sites Combined,2012-2016,209.5,340.8,269.3
135476,AR,AR: Phillips County (05107),233.0,327.2,277.0,150,Mortality,46852.0,All Races,Male,All Cancer Sites Combined,2012-2016,271.0,375.7,320.2
136364,AR,AR: Pike County (05109),171.3,272.6,217.1,79,Mortality,27497.0,All Races,Male,All Cancer Sites Combined,2012-2016,227.5,358.1,287.3
137252,AR,AR: Poinsett County (05111),259.5,345.8,300.2,208,Mortality,58859.0,All Races,Male,All Cancer Sites Combined,2012-2016,307.0,404.8,353.4
138140,AR,AR: Polk County (05113),188.8,261.1,222.4,163,Mortality,49593.0,All Races,Male,All Cancer Sites Combined,2012-2016,280.2,383.2,328.7
139028,AR,AR: Pope County (05115),202.7,251.7,226.2,354,Mortality,156467.0,All Races,Male,All Cancer Sites Combined,2012-2016,203.3,251.1,226.2
139916,AR,AR: Prairie County (05117),183.1,303.7,237.1,71,Mortality,20730.0,All Races,Male,All Cancer Sites Combined,2012-2016,267.5,432.0,342.5
140804,AR,AR: Pulaski County (05119),204.2,224.1,214.0,1943,Mortality,939859.0,All Races,Male,All Cancer Sites Combined,2012-2016,197.6,216.1,206.7
141692,AR,AR: Randolph County (05121),191.0,274.6,229.7,128,Mortality,43227.0,All Races,Male,All Cancer Sites Combined,2012-2016,247.0,352.1,296.1
142580,AR,AR: Saline County (05125),193.5,226.7,209.6,666,Mortality,281595.0,All Races,Male,All Cancer Sites Combined,2012-2016,218.9,255.2,236.5
143468,AR,AR: Scott County (05127),196.7,308.7,247.7,86,Mortality,27149.0,All Races,Male,All Cancer Sites Combined,2012-2016,253.4,391.2,316.8
144356,AR,AR: Searcy County (05129),161.8,270.9,210.1,68,Mortality,19995.0,All Races,Male,All Cancer Sites Combined,2012-2016,264.1,431.1,340.1
145244,AR,AR: Sebastian County (05131),208.0,242.5,224.8,705,Mortality,311412.0,All Races,Male,All Cancer Sites Combined,2012-2016,210.0,243.7,226.4
146132,AR,AR: Sevier County (05133),163.0,254.3,205.0,85,Mortality,42812.0,All Races,Male,All Cancer Sites Combined,2012-2016,158.6,245.5,198.5
147020,AR,AR: Sharp County (05135),205.4,286.0,242.7,165,Mortality,41873.0,All Races,Male,All Cancer Sites Combined,2012-2016,336.2,459.0,394.0
147908,AR,AR: St. Francis County (05123),200.9,277.1,236.8,170,Mortality,74136.0,All Races,Male,All Cancer Sites Combined,2012-2016,196.1,266.5,229.3
148796,AR,AR: Stone County (05137),177.1,266.2,217.6,111,Mortality,30657.0,All Races,Male,All Cancer Sites Combined,2012-2016,297.9,436.0,362.1
149684,AR,AR: Union County (05139),241.7,304.4,271.6,315,Mortality,98196.0,All Races,Male,All Cancer Sites Combined,2012-2016,286.3,358.2,320.8
151022,AR,AR: Van Buren County (05141),198.7,275.2,234.1,163,Mortality,41877.0,All Races,Male,All Cancer Sites Combined,2012-2016,331.8,453.8,389.2
151910,AR,AR: Washington County (05143),198.2,227.3,212.4,888,Mortality,548516.0,All Races,Male,All Cancer Sites Combined,2012-2016,151.4,172.9,161.9
