,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
12433,AK,AK: Lake and Peninsula Borough (02164) - 1994+,~,~,~,~,Mortality,3923.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
13321,AK,AK: Matanuska-Susitna Borough (02170) - 1990+,129.7,166.3,147.2,296,Mortality,235825.0,All Races,Female,All Cancer Sites Combined,2012-2016,111.6,140.7,125.5
14209,AK,AK: Nome Census Area (02180) - 1990+,133.2,290.1,201.5,32,Mortality,23184.0,All Races,Female,All Cancer Sites Combined,2012-2016,94.4,194.9,138.0
15097,AK,AK: North Slope Borough (02185) - 1990+,138.0,328.4,219.8,27,Mortality,18423.0,All Races,Female,All Cancer Sites Combined,2012-2016,96.6,213.2,146.6
15985,AK,AK: Northwest Arctic Borough (02188) - 1990+,86.9,238.4,150.2,18,Mortality,17729.0,All Races,Female,All Cancer Sites Combined,2012-2016,60.2,160.5,101.5
17322,AK,AK: Petersburg Census Area (02195) - 2015+,.,.,.,.,Mortality,,All Races,Female,All Cancer Sites Combined,2012-2016,.,.,.
18210,AK,AK: Prince of Wales-Hyder Census Area (02198) - 2015+,.,.,.,.,Mortality,,All Races,Female,All Cancer Sites Combined,2012-2016,.,.,.
19098,AK,AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2014,~,~,~,~,Mortality,5208.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
19537,AK,AK: Sitka City and Borough (02220) - 1990+,72.7,156.6,108.3,31,Mortality,21844.0,All Races,Female,All Cancer Sites Combined,2012-2016,96.4,201.4,141.9
20874,AK,AK: Skagway Municipality (02230) - 2015+,.,.,.,.,Mortality,,All Races,Female,All Cancer Sites Combined,2012-2016,.,.,.
21762,AK,AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2014,~,~,~,~,Mortality,2919.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
22201,AK,AK: Southeast Fairbanks Census Area (02240) - 1990+,124.4,280.2,191.2,28,Mortality,15430.0,All Races,Female,All Cancer Sites Combined,2012-2016,120.6,262.3,181.5
23089,AK,AK: Valdez-Cordova Census Area (02261) - 1990+,91.5,209.6,142.1,29,Mortality,22539.0,All Races,Female,All Cancer Sites Combined,2012-2016,86.2,184.8,128.7
23977,AK,AK: Wade Hampton Census Area (02270) - 1990+,75.9,228.0,138.4,16,Mortality,19102.0,All Races,Female,All Cancer Sites Combined,2012-2016,47.9,136.0,83.8
25314,AK,AK: Wrangell Borough (02275) - 2015+,.,.,.,.,Mortality,,All Races,Female,All Cancer Sites Combined,2012-2016,.,.,.
26202,AK,AK: Wrangell-Petersburg Census Area (02280) - 1990-2014,~,~,~,~,Mortality,5892.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
26641,AK,AK: Yakutat City and Borough (02282) - 1994+,~,~,~,~,Mortality,1415.0,All Races,Female,All Cancer Sites Combined,2012-2016,~,~,~
27529,AK,AK: Yukon-Koyukuk Census Area (02290) - 1990+,133.0,319.0,212.0,24,Mortality,12721.0,All Races,Female,All Cancer Sites Combined,2012-2016,120.9,280.7,188.7
28417,AL,AL: Autauga County (01001),141.5,181.1,160.3,267,Mortality,140755.0,All Races,Female,All Cancer Sites Combined,2012-2016,167.6,213.9,189.7
29305,AL,AL: Baldwin County (01003),131.8,149.7,140.5,1006,Mortality,509761.0,All Races,Female,All Cancer Sites Combined,2012-2016,185.3,209.9,197.3
30193,AL,AL: Barbour County (01005),115.2,168.6,139.8,123,Mortality,62220.0,All Races,Female,All Cancer Sites Combined,2012-2016,164.3,235.9,197.7
31081,AL,AL: Bibb County (01007),124.0,184.0,151.5,108,Mortality,52201.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.7,249.8,206.9
31969,AL,AL: Blount County (01009),130.5,165.9,147.4,288,Mortality,145902.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.3,221.6,197.4
32857,AL,AL: Bullock County (01011),123.2,217.6,165.0,55,Mortality,24039.0,All Races,Female,All Cancer Sites Combined,2012-2016,172.4,297.8,228.8
33745,AL,AL: Butler County (01013),124.8,184.2,152.1,120,Mortality,54203.0,All Races,Female,All Cancer Sites Combined,2012-2016,183.6,264.7,221.4
34633,AL,AL: Calhoun County (01015),132.1,156.2,143.7,589,Mortality,300964.0,All Races,Female,All Cancer Sites Combined,2012-2016,180.2,212.2,195.7
35521,AL,AL: Chambers County (01017),139.5,185.1,160.9,215,Mortality,88475.0,All Races,Female,All Cancer Sites Combined,2012-2016,211.6,277.8,243.0
36409,AL,AL: Cherokee County (01019),137.8,192.0,163.0,160,Mortality,65034.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.4,287.2,246.0
37297,AL,AL: Chilton County (01021),130.3,172.7,150.3,210,Mortality,110888.0,All Races,Female,All Cancer Sites Combined,2012-2016,164.6,216.8,189.4
38185,AL,AL: Choctaw County (01023),88.8,151.6,116.5,65,Mortality,34804.0,All Races,Female,All Cancer Sites Combined,2012-2016,144.1,238.0,186.8
39073,AL,AL: Clarke County (01025),110.4,160.3,133.4,124,Mortality,65435.0,All Races,Female,All Cancer Sites Combined,2012-2016,157.6,225.9,189.5
39961,AL,AL: Clay County (01027),86.3,146.6,112.9,62,Mortality,34210.0,All Races,Female,All Cancer Sites Combined,2012-2016,139.0,232.3,181.2
40849,AL,AL: Cleburne County (01029),114.1,183.1,145.2,79,Mortality,37687.0,All Races,Female,All Cancer Sites Combined,2012-2016,166.0,261.3,209.6
41737,AL,AL: Coffee County (01031),123.3,159.9,140.6,244,Mortality,128669.0,All Races,Female,All Cancer Sites Combined,2012-2016,166.6,215.0,189.6
42625,AL,AL: Colbert County (01033),125.6,159.2,141.5,300,Mortality,141370.0,All Races,Female,All Cancer Sites Combined,2012-2016,188.9,237.6,212.2
43513,AL,AL: Conecuh County (01035),108.8,178.7,139.9,74,Mortality,33144.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.3,280.3,223.3
44401,AL,AL: Coosa County (01037),134.9,221.2,173.3,76,Mortality,27447.0,All Races,Female,All Cancer Sites Combined,2012-2016,218.2,346.6,276.9
45289,AL,AL: Covington County (01039),135.2,178.3,155.5,235,Mortality,97440.0,All Races,Female,All Cancer Sites Combined,2012-2016,211.3,274.1,241.2
46177,AL,AL: Crenshaw County (01041),121.4,195.3,154.7,78,Mortality,35544.0,All Races,Female,All Cancer Sites Combined,2012-2016,173.5,273.9,219.4
47065,AL,AL: Cullman County (01043),129.5,158.0,143.2,416,Mortality,205183.0,All Races,Female,All Cancer Sites Combined,2012-2016,183.7,223.2,202.7
47953,AL,AL: Dale County (01045),134.4,174.0,153.2,247,Mortality,125351.0,All Races,Female,All Cancer Sites Combined,2012-2016,173.2,223.2,197.0
48841,AL,AL: Dallas County (01047),156.9,202.7,178.6,257,Mortality,111460.0,All Races,Female,All Cancer Sites Combined,2012-2016,203.2,260.6,230.6
49729,AL,AL: DeKalb County (01049),114.3,144.5,128.7,300,Mortality,179499.0,All Races,Female,All Cancer Sites Combined,2012-2016,148.8,187.2,167.1
50617,AL,AL: Elmore County (01051),131.3,163.4,146.7,341,Mortality,207916.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.1,182.4,164.0
51505,AL,AL: Escambia County (01053),140.7,186.7,162.4,210,Mortality,91591.0,All Races,Female,All Cancer Sites Combined,2012-2016,199.3,262.5,229.3
52393,AL,AL: Etowah County (01055),138.8,164.6,151.3,571,Mortality,266941.0,All Races,Female,All Cancer Sites Combined,2012-2016,196.7,232.2,213.9
53281,AL,AL: Fayette County (01057),140.6,207.4,171.1,115,Mortality,42238.0,All Races,Female,All Cancer Sites Combined,2012-2016,224.8,326.8,272.3
54169,AL,AL: Franklin County (01059),127.8,176.5,150.5,160,Mortality,78853.0,All Races,Female,All Cancer Sites Combined,2012-2016,172.7,236.9,202.9
55057,AL,AL: Geneva County (01061),117.1,165.4,139.5,144,Mortality,68059.0,All Races,Female,All Cancer Sites Combined,2012-2016,178.4,249.1,211.6
55945,AL,AL: Greene County (01063),116.0,214.5,159.1,53,Mortality,22715.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.8,305.2,233.3
56833,AL,AL: Hale County (01065),124.0,195.4,156.4,86,Mortality,39866.0,All Races,Female,All Cancer Sites Combined,2012-2016,172.6,266.4,215.7
57721,AL,AL: Henry County (01067),125.0,187.5,153.4,111,Mortality,44202.0,All Races,Female,All Cancer Sites Combined,2012-2016,206.6,302.4,251.1
58609,AL,AL: Houston County (01069),129.8,155.4,142.2,509,Mortality,270249.0,All Races,Female,All Cancer Sites Combined,2012-2016,172.3,205.4,188.3
59497,AL,AL: Jackson County (01071),154.2,192.9,172.7,338,Mortality,133400.0,All Races,Female,All Cancer Sites Combined,2012-2016,227.1,281.9,253.4
60385,AL,AL: Jefferson County (01073),147.2,157.8,152.4,3373,Mortality,1735217.0,All Races,Female,All Cancer Sites Combined,2012-2016,187.9,201.1,194.4
61273,AL,AL: Lamar County (01075),121.6,191.6,153.2,87,Mortality,36054.0,All Races,Female,All Cancer Sites Combined,2012-2016,193.3,297.6,241.3
62161,AL,AL: Lauderdale County (01077),121.0,146.1,133.0,475,Mortality,241685.0,All Races,Female,All Cancer Sites Combined,2012-2016,179.3,215.0,196.5
63049,AL,AL: Lawrence County (01079),114.1,158.4,134.7,157,Mortality,85772.0,All Races,Female,All Cancer Sites Combined,2012-2016,155.5,214.0,183.0
63937,AL,AL: Lee County (01081),149.8,177.2,163.1,576,Mortality,389554.0,All Races,Female,All Cancer Sites Combined,2012-2016,136.0,160.4,147.9
64825,AL,AL: Limestone County (01083),107.2,133.9,119.9,331,Mortality,224674.0,All Races,Female,All Cancer Sites Combined,2012-2016,131.9,164.1,147.3
65713,AL,AL: Lowndes County (01085),130.1,221.1,170.8,64,Mortality,27620.0,All Races,Female,All Cancer Sites Combined,2012-2016,178.4,295.9,231.7
66601,AL,AL: Macon County (01087),122.0,181.5,149.2,111,Mortality,53266.0,All Races,Female,All Cancer Sites Combined,2012-2016,171.4,251.0,208.4
67489,AL,AL: Madison County (01089),128.3,142.5,135.3,1438,Mortality,893289.0,All Races,Female,All Cancer Sites Combined,2012-2016,152.8,169.5,161.0
68377,AL,AL: Marengo County (01091),140.1,203.0,169.1,127,Mortality,52751.0,All Races,Female,All Cancer Sites Combined,2012-2016,200.7,286.5,240.8
69265,AL,AL: Marion County (01093),125.2,172.8,147.4,171,Mortality,76072.0,All Races,Female,All Cancer Sites Combined,2012-2016,192.4,261.1,224.8
70153,AL,AL: Marshall County (01095),131.4,158.8,144.6,457,Mortality,239731.0,All Races,Female,All Cancer Sites Combined,2012-2016,173.6,208.9,190.6
71041,AL,AL: Mobile County (01097),142.3,155.8,148.9,1982,Mortality,1080439.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.5,191.7,183.4
71929,AL,AL: Monroe County (01099),100.8,151.6,124.0,105,Mortality,57368.0,All Races,Female,All Cancer Sites Combined,2012-2016,149.7,221.6,183.0
72817,AL,AL: Montgomery County (01101),132.2,150.2,141.0,998,Mortality,598878.0,All Races,Female,All Cancer Sites Combined,2012-2016,156.5,177.3,166.6
73705,AL,AL: Morgan County (01103),129.9,153.8,141.5,573,Mortality,303128.0,All Races,Female,All Cancer Sites Combined,2012-2016,173.9,205.2,189.0
74593,AL,AL: Perry County (01105),91.8,169.5,125.6,48,Mortality,26084.0,All Races,Female,All Cancer Sites Combined,2012-2016,135.7,244.0,184.0
75481,AL,AL: Pickens County (01107),101.6,155.1,125.9,96,Mortality,50791.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.1,230.8,189.0
76369,AL,AL: Pike County (01109),135.0,187.4,159.5,156,Mortality,86504.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.1,211.0,180.3
77257,AL,AL: Randolph County (01111),109.0,161.5,133.1,114,Mortality,58012.0,All Races,Female,All Cancer Sites Combined,2012-2016,162.1,236.1,196.5
78145,AL,AL: Russell County (01113),144.3,183.9,163.2,279,Mortality,149996.0,All Races,Female,All Cancer Sites Combined,2012-2016,164.8,209.2,186.0
79033,AL,AL: Shelby County (01117),105.6,123.4,114.2,670,Mortality,529828.0,All Races,Female,All Cancer Sites Combined,2012-2016,117.1,136.4,126.5
79921,AL,AL: St. Clair County (01115),134.2,164.3,148.7,402,Mortality,216089.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.3,205.1,186.0
80809,AL,AL: Sumter County (01119),96.7,166.0,127.4,64,Mortality,36149.0,All Races,Female,All Cancer Sites Combined,2012-2016,136.3,226.1,177.0
81697,AL,AL: Talladega County (01121),143.5,174.3,158.3,439,Mortality,209466.0,All Races,Female,All Cancer Sites Combined,2012-2016,190.4,230.1,209.6
82585,AL,AL: Tallapoosa County (01123),131.4,172.7,150.8,233,Mortality,104931.0,All Races,Female,All Cancer Sites Combined,2012-2016,194.5,252.5,222.1
83473,AL,AL: Tuscaloosa County (01125),129.9,150.2,139.8,771,Mortality,523733.0,All Races,Female,All Cancer Sites Combined,2012-2016,137.0,158.0,147.2
84811,AL,AL: Walker County (01127),161.7,196.9,178.6,433,Mortality,167283.0,All Races,Female,All Cancer Sites Combined,2012-2016,235.0,284.4,258.8
85699,AL,AL: Washington County (01129),109.8,175.1,139.3,80,Mortality,43020.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.5,231.4,186.0
86587,AL,AL: Wilcox County (01131),112.5,193.2,148.3,61,Mortality,28975.0,All Races,Female,All Cancer Sites Combined,2012-2016,161.0,270.4,210.5
87475,AL,AL: Winston County (01133),89.0,135.6,110.2,101,Mortality,60978.0,All Races,Female,All Cancer Sites Combined,2012-2016,134.9,201.3,165.6
88363,AR,AR: Arkansas County (05001),117.7,180.0,146.2,99,Mortality,47963.0,All Races,Female,All Cancer Sites Combined,2012-2016,167.8,251.3,206.4
89251,AR,AR: Ashley County (05003),160.5,225.2,190.6,148,Mortality,54158.0,All Races,Female,All Cancer Sites Combined,2012-2016,231.0,321.0,273.3
90139,AR,AR: Baxter County (05005),139.7,178.8,158.1,335,Mortality,106213.0,All Races,Female,All Cancer Sites Combined,2012-2016,282.5,351.1,315.4
91027,AR,AR: Benton County (05007),129.1,147.1,137.9,934,Mortality,620145.0,All Races,Female,All Cancer Sites Combined,2012-2016,141.1,160.6,150.6
91915,AR,AR: Boone County (05009),140.1,184.9,161.2,227,Mortality,94235.0,All Races,Female,All Cancer Sites Combined,2012-2016,210.6,274.3,240.9
92803,AR,AR: Bradley County (05011),131.3,214.5,168.6,74,Mortality,28503.0,All Races,Female,All Cancer Sites Combined,2012-2016,203.9,325.9,259.6
93691,AR,AR: Calhoun County (05013),139.0,278.3,198.2,39,Mortality,12758.0,All Races,Female,All Cancer Sites Combined,2012-2016,217.4,417.9,305.7
94579,AR,AR: Carroll County (05015),127.0,176.4,149.9,166,Mortality,70237.0,All Races,Female,All Cancer Sites Combined,2012-2016,201.8,275.2,236.3
95467,AR,AR: Chicot County (05017),133.6,218.5,171.5,79,Mortality,28201.0,All Races,Female,All Cancer Sites Combined,2012-2016,221.8,349.1,280.1
96355,AR,AR: Clark County (05019),111.1,166.8,136.6,104,Mortality,59239.0,All Races,Female,All Cancer Sites Combined,2012-2016,143.4,212.7,175.6
97243,AR,AR: Clay County (05021),147.2,216.6,178.9,117,Mortality,39153.0,All Races,Female,All Cancer Sites Combined,2012-2016,247.1,358.1,298.8
98131,AR,AR: Cleburne County (05023),131.6,181.5,154.7,180,Mortality,64665.0,All Races,Female,All Cancer Sites Combined,2012-2016,239.2,322.1,278.4
99019,AR,AR: Cleveland County (05025),117.9,213.0,159.5,51,Mortality,21448.0,All Races,Female,All Cancer Sites Combined,2012-2016,177.0,312.6,237.8
99907,AR,AR: Columbia County (05027),135.9,193.6,162.6,137,Mortality,62740.0,All Races,Female,All Cancer Sites Combined,2012-2016,183.3,258.1,218.4
100795,AR,AR: Conway County (05029),103.8,156.1,127.7,104,Mortality,53351.0,All Races,Female,All Cancer Sites Combined,2012-2016,159.3,236.2,194.9
101683,AR,AR: Craighead County (05031),132.9,161.4,146.6,433,Mortality,263700.0,All Races,Female,All Cancer Sites Combined,2012-2016,149.1,180.4,164.2
102571,AR,AR: Crawford County (05033),133.1,168.3,149.8,298,Mortality,157017.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.8,212.6,189.8
103459,AR,AR: Crittenden County (05035),159.3,204.9,181.0,258,Mortality,130261.0,All Races,Female,All Cancer Sites Combined,2012-2016,174.6,223.8,198.1
104347,AR,AR: Cross County (05037),149.1,219.4,181.5,114,Mortality,44799.0,All Races,Female,All Cancer Sites Combined,2012-2016,209.9,305.7,254.5
105235,AR,AR: Dallas County (05039),129.9,237.5,176.9,54,Mortality,19632.0,All Races,Female,All Cancer Sites Combined,2012-2016,206.6,358.9,275.1
106123,AR,AR: Desha County (05041),112.5,188.7,146.6,67,Mortality,32589.0,All Races,Female,All Cancer Sites Combined,2012-2016,159.3,261.1,205.6
107011,AR,AR: Drew County (05043),115.7,178.8,144.5,91,Mortality,47863.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.1,233.4,190.1
107899,AR,AR: Faulkner County (05045),114.4,140.6,127.0,381,Mortality,306953.0,All Races,Female,All Cancer Sites Combined,2012-2016,112.0,137.2,124.1
108787,AR,AR: Franklin County (05047),114.7,175.4,142.3,96,Mortality,44874.0,All Races,Female,All Cancer Sites Combined,2012-2016,173.3,261.2,213.9
109675,AR,AR: Fulton County (05049),101.3,167.5,130.3,73,Mortality,30723.0,All Races,Female,All Cancer Sites Combined,2012-2016,186.2,298.8,237.6
110563,AR,AR: Garland County (05051),124.9,148.6,136.3,581,Mortality,252465.0,All Races,Female,All Cancer Sites Combined,2012-2016,211.8,249.6,230.1
111451,AR,AR: Grant County (05053),121.1,187.2,151.2,90,Mortality,45320.0,All Races,Female,All Cancer Sites Combined,2012-2016,159.7,244.1,198.6
112339,AR,AR: Greene County (05055),118.0,157.9,136.8,193,Mortality,111289.0,All Races,Female,All Cancer Sites Combined,2012-2016,149.8,199.7,173.4
113227,AR,AR: Hempstead County (05057),112.2,167.4,137.6,108,Mortality,57620.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.8,226.3,187.4
114115,AR,AR: Hot Spring County (05059),138.0,187.0,160.9,186,Mortality,80377.0,All Races,Female,All Cancer Sites Combined,2012-2016,199.3,267.2,231.4
115003,AR,AR: Howard County (05061),113.3,186.5,146.2,69,Mortality,34939.0,All Races,Female,All Cancer Sites Combined,2012-2016,153.7,249.9,197.5
115891,AR,AR: Independence County (05063),117.9,160.8,138.0,178,Mortality,94680.0,All Races,Female,All Cancer Sites Combined,2012-2016,161.4,217.7,188.0
116779,AR,AR: Izard County (05065),114.7,181.5,144.3,90,Mortality,32562.0,All Races,Female,All Cancer Sites Combined,2012-2016,222.3,339.7,276.4
117667,AR,AR: Jackson County (05067),146.2,216.1,178.3,112,Mortality,44327.0,All Races,Female,All Cancer Sites Combined,2012-2016,208.0,304.0,252.7
118555,AR,AR: Jefferson County (05069),154.2,188.3,170.6,420,Mortality,183893.0,All Races,Female,All Cancer Sites Combined,2012-2016,207.1,251.3,228.4
119443,AR,AR: Johnson County (05071),132.0,189.8,158.8,128,Mortality,65481.0,All Races,Female,All Cancer Sites Combined,2012-2016,163.1,232.4,195.5
120331,AR,AR: Lafayette County (05073),63.2,144.0,96.3,29,Mortality,18451.0,All Races,Female,All Cancer Sites Combined,2012-2016,105.3,225.7,157.2
121219,AR,AR: Lawrence County (05075),138.8,205.1,169.1,113,Mortality,42849.0,All Races,Female,All Cancer Sites Combined,2012-2016,217.3,317.1,263.7
122107,AR,AR: Lee County (05077),112.4,208.1,154.1,51,Mortality,21560.0,All Races,Female,All Cancer Sites Combined,2012-2016,176.1,311.0,236.5
122995,AR,AR: Lincoln County (05079),125.0,212.3,163.9,64,Mortality,27087.0,All Races,Female,All Cancer Sites Combined,2012-2016,182.0,301.7,236.3
123883,AR,AR: Little River County (05081),93.3,162.1,123.7,58,Mortality,32172.0,All Races,Female,All Cancer Sites Combined,2012-2016,136.9,233.1,180.3
124771,AR,AR: Logan County (05083),148.0,209.9,176.7,142,Mortality,54823.0,All Races,Female,All Cancer Sites Combined,2012-2016,218.2,305.3,259.0
125659,AR,AR: Lonoke County (05085),133.6,168.7,150.4,298,Mortality,179493.0,All Races,Female,All Cancer Sites Combined,2012-2016,147.7,186.0,166.0
126547,AR,AR: Madison County (05087),140.1,215.5,174.5,94,Mortality,39287.0,All Races,Female,All Cancer Sites Combined,2012-2016,193.4,292.8,239.3
127435,AR,AR: Marion County (05089),125.1,187.1,153.0,118,Mortality,41253.0,All Races,Female,All Cancer Sites Combined,2012-2016,236.8,342.5,286.0
128323,AR,AR: Miller County (05091),153.9,200.0,175.7,245,Mortality,110688.0,All Races,Female,All Cancer Sites Combined,2012-2016,194.5,250.9,221.3
129211,AR,AR: Mississippi County (05093),157.7,205.4,180.3,237,Mortality,113601.0,All Races,Female,All Cancer Sites Combined,2012-2016,182.9,236.9,208.6
130099,AR,AR: Monroe County (05095),170.8,287.2,222.5,71,Mortality,19915.0,All Races,Female,All Cancer Sites Combined,2012-2016,278.4,449.7,356.5
130987,AR,AR: Montgomery County (05097),87.5,162.4,119.3,52,Mortality,22920.0,All Races,Female,All Cancer Sites Combined,2012-2016,169.4,297.5,226.9
131875,AR,AR: Nevada County (05099),116.1,216.3,160.0,49,Mortality,21752.0,All Races,Female,All Cancer Sites Combined,2012-2016,166.7,297.8,225.3
132763,AR,AR: Newton County (05101),104.4,199.9,145.3,49,Mortality,19606.0,All Races,Female,All Cancer Sites Combined,2012-2016,184.9,330.4,249.9
133651,AR,AR: Ouachita County (05103),134.2,189.1,159.7,153,Mortality,65027.0,All Races,Female,All Cancer Sites Combined,2012-2016,199.5,275.7,235.3
134539,AR,AR: Perry County (05105),136.9,231.2,179.0,65,Mortality,25950.0,All Races,Female,All Cancer Sites Combined,2012-2016,193.3,319.3,250.5
135427,AR,AR: Phillips County (05107),181.6,255.0,215.8,151,Mortality,52905.0,All Races,Female,All Cancer Sites Combined,2012-2016,241.7,334.7,285.4
136315,AR,AR: Pike County (05109),105.7,183.7,140.1,57,Mortality,27490.0,All Races,Female,All Cancer Sites Combined,2012-2016,157.0,268.6,207.3
137203,AR,AR: Poinsett County (05111),182.7,247.4,213.1,184,Mortality,61757.0,All Races,Female,All Cancer Sites Combined,2012-2016,256.4,344.2,297.9
138091,AR,AR: Polk County (05113),143.0,207.2,172.6,134,Mortality,51764.0,All Races,Female,All Cancer Sites Combined,2012-2016,216.9,306.6,258.9
138979,AR,AR: Pope County (05115),146.4,184.1,164.4,314,Mortality,159135.0,All Races,Female,All Cancer Sites Combined,2012-2016,176.1,220.4,197.3
139867,AR,AR: Prairie County (05117),106.9,199.4,146.9,50,Mortality,21052.0,All Races,Female,All Cancer Sites Combined,2012-2016,176.3,313.1,237.5
140755,AR,AR: Pulaski County (05119),137.1,151.0,143.9,1763,Mortality,1019165.0,All Races,Female,All Cancer Sites Combined,2012-2016,165.0,181.3,173.0
141643,AR,AR: Randolph County (05121),140.0,206.0,170.3,121,Mortality,44623.0,All Races,Female,All Cancer Sites Combined,2012-2016,225.0,324.0,271.2
142531,AR,AR: Saline County (05125),130.3,155.1,142.3,535,Mortality,291703.0,All Races,Female,All Cancer Sites Combined,2012-2016,168.2,199.6,183.4
143419,AR,AR: Scott County (05127),138.2,229.3,178.9,70,Mortality,26333.0,All Races,Female,All Cancer Sites Combined,2012-2016,207.2,335.9,265.8
144307,AR,AR: Searcy County (05129),143.0,240.1,185.4,68,Mortality,19690.0,All Races,Female,All Cancer Sites Combined,2012-2016,268.2,437.8,345.4
145195,AR,AR: Sebastian County (05131),143.2,168.4,155.4,620,Mortality,324733.0,All Races,Female,All Cancer Sites Combined,2012-2016,176.2,206.6,190.9
146083,AR,AR: Sevier County (05133),118.7,191.9,152.0,73,Mortality,43254.0,All Races,Female,All Cancer Sites Combined,2012-2016,132.3,212.2,168.8
146971,AR,AR: Sharp County (05135),127.6,190.0,156.0,119,Mortality,42972.0,All Races,Female,All Cancer Sites Combined,2012-2016,229.4,331.4,276.9
147859,AR,AR: St. Francis County (05123),131.2,188.7,157.8,129,Mortality,61346.0,All Races,Female,All Cancer Sites Combined,2012-2016,175.6,249.9,210.3
148747,AR,AR: Stone County (05137),111.3,185.3,144.1,77,Mortality,31564.0,All Races,Female,All Cancer Sites Combined,2012-2016,192.5,304.9,243.9
149635,AR,AR: Union County (05139),159.0,204.2,180.4,269,Mortality,103316.0,All Races,Female,All Cancer Sites Combined,2012-2016,230.2,293.4,260.4
150973,AR,AR: Van Buren County (05141),82.9,133.5,105.3,84,Mortality,42520.0,All Races,Female,All Cancer Sites Combined,2012-2016,157.6,244.6,197.6
151861,AR,AR: Washington County (05143),124.2,144.4,134.1,712,Mortality,549124.0,All Races,Female,All Cancer Sites Combined,2012-2016,120.3,139.5,129.7
